Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,"SP 2.2: Environmental Health
and Sanitation","3,150,000","2,599,399","550,601",82.5,348,0
,SP 2:3: Human Resource,"1,510,739,524","1,457,565,355","53,174,169",96.5,348,0
,"SP 2.4: Disease Surveillance
and Emergency Response","1,997,550","1,381,276","616,274",69.1,348,0
,SP 2.5: Health Promotive,"1,740,000","1,006,000","734,000",57.8,348,0
,SP 2:6: HIV Programme,"2,300,000","1,904,625","395,375",82.8,348,0
,SP 2:7: Nutrition,"20,000,000","6,973,544","13,026,456",34.9,348,0
,SP 2:8 Reproductive Health,"1,750,000","1,357,005","392,995",77.5,348,0
,SP 2:9 Immunisation,"2,500,000","2,397,719","102,281",95.9,348,0
Sub Total,,"2,021,740,148","1,699,978,409","321,761,739",84.1,348,0
"Programme 3: Health
Curative and Rehabil-
itative Services","SP 3:1: Provision of Essential
Health Services at all levels","2,222,537,135","1,572,612,259","649,924,876",70.8,348,0
,"SP 3.2: Elimination of commu-
nicable and non-communica-
ble diseases","2,200,000","1,981,050","218,950",90.0,349,0
,SP 3:3: Human Resource,"2,573,622,163","2,306,357,108","267,265,055",89.6,349,0
Sub Total,,"4,798,359,298","3,880,950,417","917,408,881",80.9,349,0
County Public Service Board,,,,,,349,0
"Programme: Admin-
istration and Human
Resource Planning",SP1.1 Administration services,"100,471,261","74,550,850","25,920,411",74.2,349,0
,SP1.2 Financial services,"2,000,000","1,140,683","859,317",57.0,349,0
,"SP1.3 Human Resource Plan-
ning","4,000,000","2,500,000","1,500,000",62.5,349,0
,"SP 1.4 Provision of Human
Resource Planning","3,000,000","1,300,000","1,700,000",43.3,349,0
Sub Total,,"109,471,261","79,491,533","29,979,728",72.6,349,0
Nakuru Municipality,,,,,,349,0
"Programme 1:
Administration and
Planning","SP 1.1 Administration and
Planning","23,381,482","22,647,016","734,466",96.9,349,0
,SP 1.2 Personnel Services,"16,668,432","11,998,031","4,670,401",72.0,349,0
,SP 1.3 Financial Services,"600,000","300,000","300,000",50.0,349,0
Sub Total,,"40,649,914","34,945,047","5,704,867",86.0,349,0
"Programme 2:
Nakuru Municipality
Urban Planning and
Development","SP 2.1 Infrastructure Develop-
ment and Urban Planning","841,805,592","257,577,635","584,227,957",30.6,349,0
,"SP 2.2 Nakuru Municipality
Environmental Management","1,500,000","1,000,000","500,000",66.7,349,0
,"SP 2.3 Trade Markets and
Investments","2,000,000","1,500,000","500,000",75.0,349,0
,"SP 2.4 Nakuru Municipality
Social Services","3,688,664","2,000,000","1,688,664",54.2,349,0
Sub Total,,"848,994,256","262,077,635","586,916,621",30.9,349,0
Naivasha Municipality,,,,,,349,0
"Programme 1:
Administration,
Planning and Support
Services","S.P 1.1 Administration and
Planning","29,432,526","17,166,098","12,266,428",58.3,349,0
,S.P 1.2: Personnel Services,"8,433,360","216,564","8,216,796",2.6,349,0
,S.P 1.3: Financial services,"600,000",-,"600,000",0.0,349,0
Sub Total,,"38,465,886","17,382,662","21,083,224",45.2,349,0
"Programme 2:
Naivasha Municipal
Services","S.P 2.1 Planning and Infra-
structure","474,615,032",-,"474,615,032",0.0,349,0
,"S.P 2.2 Environmental Man-
agement and Sanitation","900,000",-,"900,000",0.0,349,0
,"S.P 2.3 Naivasha Social Ser-
vices","400,000",-,"400,000",0.0,349,0
,"S.P 2.4 Tourism, Investment
and Trade","1,000,000",-,"1,000,000",0.0,349,0
Sub Total,,"476,915,032",-,"476,915,032",0.0,349,0
County Assembly,,,,,,349,0
"Procedures and Com-
mittee Services","Procedures and Committee
Services","782,537,383","781,540,526","996,857",99.9,349,0
,Administration,"419,674,821","417,803,435","1,871,386",99.6,350,0
Sub Total,,"1,202,212,204","1,199,343,960","2,868,244",99.8,350,0
Grand Total,,"23,513,986,580","15,562,355,779","7,951,630,801",66.2,350,0
