Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
,,"General Ad-
ministration and
Support Services-
Pastoral Economy
and","33,300,000","172,086","33,127,914",0.5,471,0
"Agriculture
Programme",,"Agri-nutrition/
Urban & peri-ur-
ban agriculture","8,100,000",-,"8,100,000",-,471,0
,,"Smart agriculture
practices (Innova-
tions/technologies
to mitigate","14,200,000",-,"14,200,000",-,471,0
,,"Agricultural Sec-
tor Development
Support Pro-
gramme (ASDSP)","16,500,000",-,"16,500,000",-,471,0
,,"Agricultural
Mechanization","27,308,874",-,"27,308,874",-,471,0
,,"Agric market
Access","1,200,000",-,"1,200,000",-,471,0
,,"Agric Extension
& Development","34,900,000",-,"34,900,000",-,471,0
,,"Subsidy & Sup-
port","3,700,000",-,"3,700,000",-,471,0
,,"Pest Control &
Management","4,800,000",-,"4,800,000",-,471,0
,,NARIGP,"28,615,338",-,"28,615,338",-,471,0
,,DRNKP/KFW,"22,000,000",-,"22,000,000",-,471,0
,,,"794,087,694","1,370,906","792,716,788",0.2,471,0
"Tourism, Culture
and Natural
Resources",,,,,,,471,0
"Establishment
and rehabilitation
of public utilities
in Lodwar",,"Improvement
of Moi Garden
Stadia","27,000,000",-,"27,000,000",-,471,0
,,"completion of
recreational park","24,500,000",-,"24,500,000",-,471,0
,,"setting up of
dumping site in
Lodwar","85,978,013",-,"85,978,013",-,471,0
"General
Administration",,"General Admin-
istration, Planning
and Support
Services","35,300,000","1,058,900","34,241,100",3.0,471,0
,,A,B,C=A-B,D=B/A*100,,472,0
"Tourism
destination
marketing and
promotion",,"Tourism expos,
incentives, confer-
ences and exhibi-
tion program","1,500,000",-,"1,500,000",-,472,0
,,"Community
Based Tourism
products","1,000,000",-,"1,000,000",-,472,0
,,"Tourism Market
Research (Base-
line Survey &
Mapping)","35,300,000",-,"35,300,000",-,472,0
,,"Media Campaign
and Promotion of
Tourism Products
and Programmes","1,000,000",-,"1,000,000",-,472,0
"Culture,
arts, heritage
development,
promotion and
preservation",,Ushanga Initiative,"10,500,000",-,"10,500,000",-,472,0
,,"Culture Promo-
tion and Preser-
vation","9,700,000","268,800","9,431,200",2.8,472,0
,,"Annual tour-
ism and cultural
festival","30,000,000","499,700","29,500,300",1.7,472,0
"Culture
development
and preservation
infrastructure",,"Equipment and
Infrastructure
Development at
Ekalees Centre","10,000,000",-,"10,000,000",-,472,0
"Forestry
and wildlife
management
development and
management",,"Forestry Man-
agement and
Conservation","4,000,000",-,"4,000,000",-,472,0
,,"Community
Wildlife Conser-
vation","1,500,000",-,"1,500,000",-,472,0
,,"Forest Nature
Based Develop-
ment","2,000,000",-,"2,000,000",-,472,0
,,"Forestry Develop-
ment Infrastruc-
ture","33,100,000",-,"33,100,000",-,472,0
