Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expen-
diture as of 31st
December 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,Sub total,"351,528,512","93,836,505","257,692,007",26.7,140,0
"Stakeholder
Management
and Communi-
cation","Communication and Public
Engagement Services","23,602,565","4,249,615","19,352,950",18.0,140,0
,Sub total,"23,602,565","4,249,615","19,352,950",18.0,140,0
"Special
Projects and
Disaster Man-
agement",Special Projects Services,"11,200,519",-,"11,200,519",-,140,0
,"Disaster Prevention and Man-
agement Services","27,701,214",-,"27,701,214",-,140,0
,Sub total,"38,901,733",-,"38,901,733",-,140,0
,Grand total,"414,032,810","98,086,120","315,946,690",23.7,140,0
Executive Office of the Governor,,,,,,141,0
"Public Service
Administra-
tion support
services","Human resource management
and development services","392,425,341","118,933,089","273,492,252",30.3,141,0
,"Performance Management
Services","6,310,000",-,"6,310,000",-,141,0
,Legal Services,"20,000,000",-,"20,000,000",-,141,0
,Sub total,"418,735,341","118,933,089","246,579,866",28.4,141,0
"Governance
and coordina-
tion services","Executive management and
liaison services","202,233,970","66,438,219","135,795,751",32.9,141,0
,"Field coordination and admin-
istration services","11,585,135",-,"11,585,135",-,141,0
,Sub total,"213,819,105","66,438,219","147,380,886",31.1,141,0
"Strategy and
service deliv-
ery improve-
ment services",Strategy and advisory services,"9,734,000",-,"9,734,000",-,141,0
,"Information and Communi-
cations","10,266,000",-,"10,266,000",-,141,0
,Sub total,"20,000,000",-,"20,000,000",-,141,0
,Grand total,"652,554,446","185,371,307","467,183,139",28.4,141,0
Kendu Bay Municipal Board,,,,,,141,0
"Policy, Plan-
ning, General
Administration
and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,141,0
,"Personnel remuneration and
development services","3,803,640",-,"3,803,640",-,141,0
,"Administration and Support
Services","3,081,110",-,"3,081,110",-,141,0
,Sub total,"10,060,000",-,"10,060,000",-,141,0
"Public Works
and Infrastruc-
ture Improve-
ments Services","Transport Infrastructure Im-
provements","5,000,000",-,"5,000,000",-,141,0
,"Public facilities improvement
services",-,-,-,-,141,0
"Housing
and Urban
Development
Services","Environmental Management
Services","5,000,000",-,"5,000,000",-,141,0
,Land Use Management,-,-,-,-,141,0
,Sub total,"10,000,000",-,"10,000,000.0",-,141,0
,Grand total,"20,060,000",-,"20,060,000",-,141,0
Mbita Municipal Board,,,,,,141,0
"Policy, Plan-
ning, General
Administration
and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,141,0
,"Personnel remuneration and
development services","3,803,640",-,"3,803,640",-,141,0
,"Administration and Support
Services","3,081,110",-,"3,081,110",-,141,0
"Public Works
and Infrastruc-
ture Improve-
ments Services",Sub total,"10,060,000",-,"10,060,000",-,142,0
,"Transport Infrastructure Im-
provements","5,000,000",-,"5,000,000",-,142,0
,"Public facilities improvement
services",-,-,-,-,142,0
"Housing
and Urban
Development
Services","Environmental Management
Services","5,000,000",-,"5,000,000",-,142,0
,Land Use Management,-,-,-,-,142,0
,Sub total,"10,000,000",-,"10,000,000.0",-,142,0
,Grand total,"20,060,000",-,"20,060,000",-,142,0
Ndhiwa Municipal Board,,,,,,142,0
"Policy, Plan-
ning, General
Administration
and Support
Services",Policy and Planning Services,"3,175,250",-,"3,175,250",-,142,0
,"Personnel remuneration and
development services","3,803,640",-,"3,803,640",-,142,0
,"Administration and Support
Services","3,081,110",-,"3,081,110",-,142,0
"Public Works
and Infrastruc-
ture Improve-
ments Services",Sub total,"10,060,000",-,"10,060,000",-,142,0
,"Transport Infrastructure Im-
provements","5,891,972",-,"5,891,972",-,142,0
