Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,"General Administration, Planning
and Support Services- Liaison
Office","25,300,000",-,"25,300,000",-,341,0
,"General Administration, Planning
and Support Services-Office of
County Secretary","29,850,000","453,285","29,396,715",1.5,341,0
"Government Coordi-
nation",,"44,957,122",-,"44,957,122",-,341,0
,Cabinet Affairs,"5,000,000",-,"5,000,000",-,341,0
,Performance and Efficiency,"13,703,287",-,"13,703,287",-,341,0
,Interdepartmental Relations,"3,500,000",-,"3,500,000",-,341,0
,Intergovernmental Relation,"18,903,287",-,"18,903,287",-,341,0
,"Strategy Development, Review,
Support and Operationalization","3,850,548",-,"3,850,548",-,342,0
Audit,,"21,551,643",-,"21,551,643",-,342,0
,Internal Audit,"5,300,000",-,"5,300,000",-,342,0
,Quality Assurance,"4,251,643",-,"4,251,643",-,342,0
,Support to Audit Committees,"12,000,000",-,"12,000,000",-,342,0
"Partnerships and
Investments",,"16,493,389",-,"16,493,389",-,342,0
,"Joint Program Coordination UN/
TCG","3,100,000",-,"3,100,000",-,342,0
,Public Private Partnerships,"9,179,109",-,"9,179,109",-,342,0
,Donor and Partner Coordination,"4,214,280",-,"4,214,280",-,342,0
"Upgrade of Key Coun-
ty Premises",,"20,000,000",-,"20,000,000",-,342,0
,"Construction of Deputy Governor
Residence","20,000,000",-,"20,000,000",-,342,0
"Public Communica-
tions, Media Relations
and IT Support",,"12,456,691",-,"12,456,691",-,342,0
,"Media Advertisement and Place-
ments","2,775,822",-,"2,775,822",-,342,0
,"Documentation, communication
policy and strategy","3,701,096",-,"3,701,096",-,342,0
,"Civic Education and Public Sensi-
tization","3,851,643",-,"3,851,643",-,342,0
,"Production of County Newspaper
and Newsletter","2,128,130",-,"2,128,130",-,342,0
Strategy and Delivery,,"22,000,000","1,315,380","20,684,620",6.0,342,0
,"Economic and Private Sector Advi-
sory Services","2,200,000","727,760","1,472,240",33.1,342,0
,"Political and Intergovernmental
Advisory Services","2,200,000","587,620","1,612,380",26.7,342,0
,Legal Advisory Services,"2,200,000",-,"2,200,000",-,342,0
,"Security and cross border Advisory
Services","2,200,000",-,"2,200,000",-,342,0
,Oil And Gas Advisory Service,"2,200,000",-,"2,200,000",-,342,0
,"Gender and Partnership Advisory
Services","2,200,000",-,"2,200,000",-,342,0
,Special Interest groups,"2,200,000",-,"2,200,000",-,342,0
,Climate Change advisory services,"2,200,000",-,"2,200,000",-,342,0
,"Education and youth Advisory
services","2,200,000",-,"2,200,000",-,342,0
,"Culture, Arts and Heritage advisory
services","2,200,000",-,"2,200,000",-,342,0
"Peace Building and
Conflict Management",,"188,176,370","5,170,499","183,005,871",2.7,342,0
,"Operationalization of peace build-
ing structures and institutions","33,876,370","237,680","33,638,690",0.7,342,0
,"Resettlement Infrastructural Pro-
gramme","138,100,000",-,"138,100,000",-,343,0
,"Cross Border peace dividends
programme","16,200,000","4,932,819","11,267,181",30.4,343,0
"Governor's Press
Services",,"5,014,280",-,"5,014,280",-,343,0
,Governors Press support,"5,014,280",-,"5,014,280",-,343,0
,,,,,-,343,0
,County Public Service Board,,,,-,343,0
"General Administra-
tion and Support
Services",,"46,644,671","5,127,400","41,517,271",11.0,343,0
,"General Administration, Planning
and Support Services-Public
Service","45,071,705","5,127,400","39,944,305",11.4,343,0
,"Integration of PWD Computing
Skills","1,572,966",-,"1,572,966",-,343,0
"Turkana County
Internship",,"38,000,000","6,187,080","31,812,920",16.3,343,0
,County Internship Programme,"38,000,000","6,187,080","31,812,920",16.3,343,0
Human Resource,,"15,600,755","181,950","15,418,805",1.2,343,0
,"Induction of Employees In County
Public Service","1,850,548",-,"1,850,548",-,343,0
,Recruitment Process,"4,551,643",-,"4,551,643",-,343,0
,"Enhancing Leadership In County
Public Service","1,387,911",-,"1,387,911",-,343,0
,"Review and Development of HR
Policies","1,202,856",-,"1,202,856",-,343,0
,"Human Resource Development/
Career Progression","1,295,383","181,950","1,113,433",14.0,343,0
,"Performance Management Mon-
itoring","1,156,592",-,"1,156,592",-,343,0
,"Development of Database Filing
System","1,380,000",-,"1,380,000",-,343,0
,"County Public Service Pre-Retire-
ment Sensitization","1,387,911",-,"1,387,911",-,343,0
,"Evaluation of Different Cadres of
Employees(Promotion, Re-Desig-
nation)","1,387,911",-,"1,387,911",-,343,0
ICT Infrastructure,,"5,617,234",-,"5,617,234",-,343,0
