Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expenditure
as of 31st March, 2024
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
"Department of Gender Equality and Inclusivity Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,139,0
"Policy, Planning and General
Administration services","General Administration and Support
Services","83,952,751","70,551,976","13,400,775",84.0,139,0
,Policy and Planning Services,"21,772,768","5,616,508","16,156,260",25.8,139,0
,Office Development Operations,"210,460",-,"210,460",-,139,0
,Sub total,"105,935,979","76,168,484","29,767,495",71.9,139,0
"Cultural And Creative Sector
Development Services",Creative Economy Development Services,"3,873,589",-,"3,873,589",-,139,0
,"Cultural Development and Promotion
Services","9,684,288","3,132,325","6,551,963",32.3,139,0
,Sub total,"13,557,877","3,132,325","10,425,552",23.1,139,0
"Social Development and Em-
powerment Services","Gender Mainstreaming and Women Em-
powerment Services","7,404,418","140,001","7,264,417",1.9,139,0
,"Youth Empowerment and Mainstreaming
Services","5,432,000",,"5,432,000",-,139,0
,SGBV Control Services,-,-,-,-,139,0
,Disability Mainstreaming Services,"8,573,000",,"8,573,000",-,139,0
,Youth and women support grants,-,-,-,-,139,0
,Sub total,"21,409,418","140,001","21,269,417",0.7,139,0
"Management and Development
of Sports and Sports Facilities","Sports Infrastructure Development
Services","66,580,218","22,433,178","44,147,040",33.7,139,0
,"Sports Management and Talent Devel-
opment","21,816,250",,"21,816,250",-,139,0
,Sub total,"88,396,468","22,433,178","65,963,290",25.4,139,0
,Grand total,"229,299,742","101,873,988","127,425,754",44.4,139,0
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,139,0
"General Administration, Plan-
ning and Support Services","Human Resource and Capacity Develop-
ment Services","161,114,540","104,138,465","56,976,075",64.6,139,0
,"Policy Planning and Field Support
Services","2,032,000","357,160","1,674,840",17.6,139,0
,Roads and Transport Services,"231, ,323",,"231, ,323",-,139,0
,Sub total,"163,377,863","104,495,625","58,882,238",64.0,139,0
