col_0,col_1,col_2,Revised Estimates (Kshs.),col_4,Expenditure (Kshs.),col_6,Absorption %,col_8,page_number,table_index
,"Infrastructure
Improvement","Infrastructure
Improvement","3,000,000.00","250,000,000.00","2,180,500.00",-,73,-,624,0
,"Capacity Build-
ing Services","Capacity Build-
ing Services","4,000,000.00",-,"1,391,700.00",-,35,-,624,0
,Total,,"162,487,747.00","261,000,000.00","46,955,526.00","1,996,000.00",29,1,624,0
,WAJWASCO,WAJWASCO,"155,579,130.00","681,200,000.00","96,114,942.25","1,992,068",62,-,624,0
,Total,,"155,579,130.00","681,200,000.00","96,114,942.25","1,992,068.00",62,-,624,0
"3365-Wa-
jir - Water
Resources
Development","Water Supplies
Overhaul and
Maintenance
Services","Water
Supplies
Overhaul and
Maintenance
Services","137,891,737.00","124,646,000.00","110,005,143.60","68,601,200.00",80,55,624,0
,"Infrastructure
Development
Services","Infrastructure
Development
Services","8,855,800.00","299,350,000.00","7,349,700.00","50,441,799.00",83,17,624,0
,Total,Total,"146,747,537.00","423,996,000.00","117,354,843.60","124,042,999.00",80,29,624,0
"County
Assembly
Services",,"General
Administra-
tion, Human
Resource and
Administrative
Services","999,537,966.00",-,"548,668,267.00",-,55,-,624,0
,,Grand Total,"7,260,951,152.00","3,882,528,866.00","4,470,921,676.90","888,948,950.70",62,23,624,0
,,,"8,260,489,118.00","3,882,528,866.00","5,019,589,943.90","888,948,950.70",61,23,624,0
