Sub Program,Name of the Programme,"Approved Esti-
mates FY 2020/21","Expendi-
ture 1/7/20-
30/06/21(Kshs)",Variance (Kshs.),"Implementation
Status (% )",page_number,table_index
720094110,"Evaluation of Different Cadres of Em-
ployees(Promotion, Re-Designation","2,045,507","979,200","1,066,307",47.9,433,0
,"Quality management system pro-
gramming","3,073,546","858,740","2,214,806",27.9,433,0
723014110,"Quality Management Systems Develop-
ment & Establishment","1,200,401","858,740","341,661",71.5,433,0
723024110,QMS Audit /Routine Inspection,"165,450",0,"165,450",-,433,0
723034110,"Documentation/Record Management
For QMS","1,707,695",0,"1,707,695",-,433,0
,Budgetary Supply,"97,001,343","62,111,712","34,889,631",64,433,0
724014110,"Budget Formulation, Co-ordination
and Management","62,420,800","35,904,689","26,516,111",57.5,433,0
724024110,Public Participation in Budgeting,"21,033,082","14,475,249","6,557,833",68.8,433,0
724034110,County Budget and Economic Forum,"13,547,461","11,731,775","1,815,687",86.6,433,0
,Resource Mobilization,"3,424,000","697,200","2,726,800",20.4,433,0
725014110,Resource Mobilization,"3,424,000","697,200","2,726,800",20.4,433,0
,Governors Press Service,"10,269,281","6,568,524","3,700,757",64,433,0
727014110,Governors Press support,"10,269,281","6,568,524","3,700,757",64,433,0
,Governance and Public participation,"6,333,200","1,772,000","4,561,200",28,433,0
728014110,Civic education Programme,0,0,0,-,433,0
728024110,"Public Participation and access to infor-
mation","1,568,200",0,"1,568,200",-,433,0
728034110,County Dialogue Forum,"1,066,000","533,000","533,000",50,433,0
728044110,National & County Holidays,"3,480,000","1,239,000","2,241,000",35.6,433,0
728054110,Policies Design,"219,000",0,"219,000",-,433,0
,Disaster risk management,"265,230,230","36,856,412","228,373,818",13.9,433,0
729014110,Disaster Preparedness Programmes,"512,500",0,"512,500",-,433,0
729024110,Disaster Mitigation Programmes,"650,500","180,000","470,500",27.7,433,0
729034110,"Stakeholders coordination and Support
Programme","423,500",0,"423,500",-,433,0
729044110,Humanitarian Relief Food Programme,"263,067,730","36,487,562","226,580,168",13.9,433,0
729064110,Disaster Risk Mgt,"576,000","188,850","387,150",32.8,433,0
,Inspectorate services,"8,036,600","2,812,000","5,224,600",35,433,0
730054110,Dispute Resolution,"5,000",0,"5,000",-,433,0
730074110,Capacity Building,"2,182,000","1,462,000","720,000",67,433,0
730084110,Inspectorate Services,"2,479,600",0,"2,479,600",-,433,0
730094110,Inspectorate Services Equip,"3,370,000","1,350,000","2,020,000",40.1,433,0
,Human resource management,"31,626,205","9,041,725","22,584,480",28.6,433,0
731014110,Payroll and record management,"78,880","540,000","-461,120",684.6,433,0
731024110,Human Resource Development,"20,633,620","3,067,475","17,566,145",14.9,433,0
731034110,"GHRIS Leave & Performance Module
Implementation","2,712,100","1,179,320","1,532,780",43.5,433,0
731044110,"Digitization and Automation of Human
Resource Registry","3,417,225","1,655,000","1,762,225",48.4,433,0
731054110,"Mainstreaming Public Sector Integrity
Programme","3,798,980","930,310","2,868,670",24.5,433,0
731074110,Public Service Week,"35,000",0,"35,000",-,433,0
731094110,Records Mgt,"653,250","281,000","372,250",43,433,0
731104110,HRM,"297,150","1,388,620","-1,091,470",467.3,433,0
,,"14,367,341","4,026,160","10,341,181",28,433,0
735014110,Govt Programming,"4,620,557","2,353,060","2,267,497",50.9,433,0
735024110,Community Engagement,"3,795,000","281,300","3,513,700",7.4,433,0
735034110,Govt Stakeholder Engagement,"2,474,000","605,500","1,868,500",24.5,433,0
735044110,Govt Transformation,"3,477,784","786,300","2,691,484",22.6,433,0
,General Administration,"59,416,480","61,676,930","-2,260,450",103.8,433,0
901014110,"General Administration, Planning and
Support Services","59,416,480","61,676,930","-2,260,450",103.8,433,0
,,(Kshs.),,,,434,0
,"Tourism destination marketing and
promotion","7,120,913","1,866,897","5,254,016",26.2,434,0
902014110,"Tourism expos, incentives, conferences
and exhibition program","2,829,621","487,882","2,341,739",17.2,434,0
902024110,Community Based Tourism products,"1,697,040","273,840","1,423,200",16.1,434,0
902054110,"Media Campaign and Promotion of
Tourism Products and Programmes","2,594,252","1,105,175","1,489,077",42.6,434,0
,Tourism development and Promotion,"41,099,437","12,419,643","28,679,794",30.2,434,0
