county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
siaya,2022_23,04,"County Health Services
-",,204908249.0,199951298.85
siaya,2022_23,04,"County Health Services
-",,83755896.0,69194471.0
siaya,2022_23,04,"County Health Services
-",,109000700.0,56327054.0
siaya,2022_23,04,"County Health Services
-",,25219688.0,24869022.0
siaya,2022_23,04,"County Health Services
-",,76446751.0,57261123.0
siaya,2022_23,04,"County Health Services
-",,58578536.0,607267.0
siaya,2022_23,04,"County Health Services
-",,50158116.0,850000.0
siaya,2022_23,04,"County Health Services
-",,2098836082.0,1461371999.45
trans,2022_23,04,"P1 Administrative and
Support Services","Sp1.1 Preventive
Health Services",385617890.0,99520770.75
turkana,2022_23,04,"Health andSanitation
Services",,,
turkana,2022_23,04,"Support to Health
Programs","HIV andAIDS, including
community-based
HIV interventions",606000.0,351400.0
turkana,2022_23,04,"Support to Health
Programs",Nutrition,542500.0,
turkana,2022_23,04,"Support to Health
Programs",Reproductive health,480000.0,
turkana,2022_23,04,"Support to Health
Programs",Disease surveillance,750000.0,300700.0
turkana,2022_23,04,"Support to Health
Programs",EPI/outreaches,500000.0,203000.0
turkana,2022_23,04,"Support to Health
Programs",Health promotion,75530390.0,46278220.0
turkana,2022_23,04,"Support to Health
Programs","Environmental
health services",600000.0,45000.0
turkana,2022_23,04,"Support to Health
Programs","Emergency preparedness
anddisaster response",600000.0,
turkana,2022_23,04,"Support to Health
Programs",mainstreaming,350000.0,
turkana,2022_23,04,"Support to Health
Programs",Community Health Services,130568000.0,123240925.0
turkana,2022_23,04,"Support to Health
Programs",,,
turkana,2022_23,04,Laboratory Services,Blood Transfusion Services,1400000.0,140000.0
turkana,2022_23,04,Laboratory Services,Rehabilitative Services,500000.0,245000.0
turkana,2022_23,04,Laboratory Services,"Referrals & Emergency
Services",24000000.0,10557475.0
turkana,2022_23,04,Laboratory Services,"Sub-county Health
Facilities Support",2600000.0,
turkana,2022_23,04,Laboratory Services,Medical Supplies,365408000.0,328103925.0
turkana,2022_23,04,"Health Information
and Management","Policy and Planning
Services",,
turkana,2022_23,04,"Health Information
and Management","Rehabilitation
andTreatment",1700000.0,1297800.0
turkana,2022_23,04,"Health Information
and Management","Public Education
andAwareness",800000.0,
uasin,2022_23,04,"Fire & Emergency
Services","Fire andEmergency
Services",28154662.0,26757000.0
uasin,2022_23,04,"Fire & Emergency
Services",,,
uasin,2022_23,04,"Curative
andRehabilitative
Services","County Referral
Health Services",2355279034.0,2176773292.0
uasin,2022_23,04,"Curative
andRehabilitative
Services","Health transport
services",239343021.0,231370851.0
uasin,2022_23,04,"Curative
andRehabilitative
Services",,,
vihiga,2022_23,04,"Administration, Planning
and Support Service",Healthcare Financing,16993400.0,9322345.35
vihiga,2022_23,04,"Promotive andPreventive
Healthcare Services",,7040000.0,3929100.0
vihiga,2022_23,04,"Promotive andPreventive
Healthcare Services",Public Health Services,2520000.0,1200100.0
vihiga,2022_23,04,"Promotive andPreventive
Healthcare Services","Community Health
Strategy",2000000.0,976500.0
vihiga,2022_23,04,"Promotive andPreventive
Healthcare Services",Health Promotion,500000.0,408000.0
vihiga,2022_23,04,"Promotive andPreventive
Healthcare Services","Reproductive Health-
care",2000000.0,1344500.0
vihiga,2022_23,04,"Curative AndRehabilitative
Health Services",,91381800.0,74871159.0
vihiga,2022_23,04,"Curative AndRehabilitative
Health Services",Medical services,90881800.0,74387859.0
vihiga,2022_23,04,"Curative AndRehabilitative
Health Services","County referral ser-
vices",500000.0,483300.0
vihiga,2022_23,04,"Child andMaternal Health
Care",,51712028.0,19221565.7
vihiga,2022_23,04,"Child andMaternal Health
Care","Antenatal andPost-Na-
tal healthcare",2217200.0,473600.0
vihiga,2022_23,04,"Child andMaternal Health
Care","Antenatal andPost Na-
tal Healthcare",10520000.0,80400.0
vihiga,2022_23,04,"Child andMaternal Health
Care","Newborn, Child an-
dAdolescent Health",500000.0,221500.0
vihiga,2022_23,04,"Child andMaternal Health
Care",Nutrition Services,38474828.0,18446065.7
west,2022_23,04,SP 2- (Preventive Health Services),,86420000.0,85166410.0
baringo,2023_24,01,"County Health
Services",General Administration,398631775.0,55880840.0
baringo,2023_24,01,"Curative and
Rehabilitative
Services",Infrastructure development,,
baringo,2023_24,01,"Preventive and
Promotive
Health Services",Infrastructure development,,
baringo,2023_24,01,"Preventive and
Promotive
Health Services",Health/preventive services,,
baringo,2023_24,01,"Preventive and
Promotive
Health Services",Medical Drugs,,
bungoma,2023_24,01,SP 1. 3 Health Policy,,4000000.0,
bungoma,2023_24,01,"SP 2.2 Community
Health Strategy",,5600000.0,
bungoma,2023_24,01,"Specialized materials and
supplies",,477349707.0,
bungoma,2023_24,01,"Programme 3: Curative
Health Services",,136949177.0,28015305.0
bungoma,2023_24,01,"Administrative and
support services",,12129145.0,427600.0
busia,2023_24,01,"CP 54: Curative Health
Services","CSP 54.2: Hospital
equipment",,
busia,2023_24,01,"CP 55: Preventive and Pro-
motive Health Services","CSP 55.1: Infrastructure
development",,
busia,2023_24,01,"CP 55: Preventive and Pro-
motive Health Services","CSP 55.2: Lower-level
hospital equipment",,
busia,2023_24,01,"CP 55: Preventive and Pro-
motive Health Services","CSP 55.3: Preventive
Services",,
busia,2023_24,01,"CP 55: Preventive and Pro-
motive Health Services","CSP 55.4: Health promo-
tion unit",,
busia,2023_24,01,"CP 55: Preventive and Pro-
motive Health Services",Sub-Total,1794641011.0,330738979.0
kericho,2023_24,01,DEPARTMENT: HEALTH SERVICES,,,
kericho,2023_24,01,Curative Health,,1581600049.0,195238558.0
kericho,2023_24,01,Curative Health,,,
kericho,2023_24,01,"Preventive and
Promotive Health",,1170865728.0,105366052.0
kericho,2023_24,01,"Preventive and
Promotive Health",,2752465777.0,300604610.0
kericho,2023_24,01,Total Expenditure,,882798755.0,179913823.0
kisii,2023_24,01,"County Health
Services",,2981137498.0,596151022.0
kisii,2023_24,01,"County Health
Services",,24530000.0,
kisii,2023_24,01,"County Health
Services",,3005667498.0,596151022.0
kisumu,2023_24,01,"Medical Services, Public Health & Sanitation-5085",,,
kisumu,2023_24,01,"Medical Services, Public Health & Sanitation-5085",,600000.0,
kisumu,2023_24,01,407005085,"Kisumu County
Referral Hospital",42000000.0,14000000.0
kisumu,2023_24,01,408005085,"County and
Sub-County
Hospital Services",42000000.0,20922110.0
laikipia,2023_24,01,"Public Safety, Enforce and
Disaster Management",Fire Services,1400000.0,557750.0
laikipia,2023_24,01,"Curative and Rehabilitee
Health","Health Infrastruc-
ture Development",,
laikipia,2023_24,01,"Curative and Rehabilitee
Health","Emergency Referral
and Rehabilitative
Service",239423000.0,80337191.0
laikipia,2023_24,01,"General Administration
and Planning Services","Health Policy, Gov-
ernance, Planning
and Financing -",2000000.0,980750.0
laikipia,2023_24,01,"PREVENTIVE HEALTH
SERVICES","Community Health
Strategy, Advocacy
and Surveillance",12000000.0,
laikipia,2023_24,01,"PREVENTIVE HEALTH
SERVICES","Family Planning,
Maternal, and
Child Health
Services",2000000.0,475900.0
laikipia,2023_24,01,"PREVENTIVE HEALTH
SERVICES","Non -Non-Com-
municable Diseases
Control and Pre-
vention",2000000.0,434700.0
laikipia,2023_24,01,"PREVENTIVE HEALTH
SERVICES","Public Health
Promotion and
Nutrition Services",9350000.0,3194300.0
laikipia,2023_24,01,"PREVENTIVE HEALTH
SERVICES","Social Health Insur-
ance Scheme",6000000.0,
laikipia,2023_24,01,"PREVENTIVE HEALTH
SERVICES","TB/HIV/Aids
Prevention and
Control",14000000.0,445200.0
machakos,2023_24,01,HEALTH AND EMERGENCY SERVICES,,,
machakos,2023_24,01,"Curative and Rehabil-
itative health",Machakos Level 5,169429588.0,21218762.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Kangundo Level 4,54100000.0,3660842.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Matuu Level 4,43600000.0,12826724.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Kathiani Level 4,58600000.0,12471688.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Mwala Level 4,43600000.0,3428206.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Kimiti Level 4,38600000.0,1710695.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Masinga Level 4,40600000.0,2477077.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",,,
machakos,2023_24,01,"Curative and Rehabil-
itative health",Athi River Level 4,30600000.0,2977077.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Mutituni Level 4,30600000.0,7083736.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Ndithini Level 4,30600000.0,8994906.0
machakos,2023_24,01,"Curative and Rehabil-
itative health",Kalama Level 4,30600000.0,8594971.0
machakos,2023_24,01,"Preventive and pro-
motive services","Public Health and
Community Outreach",73566838.0,
makueni,2023_24,01,Health Services,,,
makueni,2023_24,01,"Programme 2: Curative
health care services","SP2. 1: Curative health
care services",307750000.0,900000.0
makueni,2023_24,01,"Programme 3; Preven-
tive and promotive
health care services","SP3.1 Preventive and
promotive health care
services",58250000.0,12412816.0
makueni,2023_24,01,"Programme 3; Preven-
tive and promotive
health care services",Sub Total,3162331228.0,488399241.0
mandera,2023_24,01,Health Services,"Preventive, Promotive
and Reproductive Health
Services",,
mandera,2023_24,01,Health Services,"General Administration,
Planning and Support
Services",,370817260.0
mandera,2023_24,01,Health Services,Health Infrastructure,,19123509.0
mandera,2023_24,01,Health Services,Sub total,,389940769.0
migori,2023_24,01,Donor Funds,,,
migori,2023_24,01,"Child protection respon-
sive services & caregiving
support service",,4000000.0,1120500.0
migori,2023_24,01,"Infrastructure & Health
Facility Management",,5000000.0,
migori,2023_24,01,"Environmental health
services",,1600000.0,250000.0
migori,2023_24,01,"Maternal & Reproductive
Health services",,5660000.0,
migori,2023_24,01,"Neonatal, Child, Ado-
lescent & Youth health
services",,2700000.0,
migori,2023_24,01,"Ambulance & Referral
Services",,21500000.0,
migori,2023_24,01,Hospital Level Services,,,
migori,2023_24,01,"Infrastructure & Health
Facility Management",,30694473.0,600000.0
migori,2023_24,01,"Health promotion &
education",,1800000.0,443000.0
migori,2023_24,01,"Maternal & Reproductive
Health services",,2800000.0,695000.0
migori,2023_24,01,"Neonatal, Child, Ado-
lescent & Youth health
services",,1400000.0,350000.0
migori,2023_24,01,"Environmental health
services",,1450000.0,369000.0
mombasa,2023_24,01,Programme 6,Child Care,2500000.0,
mombasa,2023_24,01,HEALTH SERVICES,,,
mombasa,2023_24,01,Programme 7,"Preventive and Promotive
Health services",69402768.0,
mombasa,2023_24,01,Programme 7,"Curative/Clinical Health
Services",118729822.0,
nairobi,2023_24,01,Disaster Management Coordination,Ambulance Services,4805989.0,
nairobi,2023_24,01,Public Health,,,
nairobi,2023_24,01,Public Health,,,
nairobi,2023_24,01,Public Health,"HIV/AIDS prevention
and control unit",1000000.0,
nairobi,2023_24,01,Public Health,"Environmental Public
Health",10000000.0,
nairobi,2023_24,01,Public Health,"Health Policy and
Regulations",10000000.0,
nairobi,2023_24,01,Public Health,Coroner Services,15000000.0,
nairobi,2023_24,01,Health Facilities,,,
nairobi,2023_24,01,Health Facilities,"Pumwani Maternity
Hospital",6800000.0,
nairobi,2023_24,01,Health Facilities,"Health planning and
financing",31165000.0,
nairobi,2023_24,01,Health Facilities,"Health centers &
dispensaries",72228250.0,
nairobi,2023_24,01,Health Facilities,Health Commodities,400000000.0,
nairobi,2023_24,01,Medical Services,,,
nairobi,2023_24,01,Medical Services,Primary Health Care,22635000.0,
nairobi,2023_24,01,Medical Services,"Reproductive Health,
Maternal Health (RM-
NCAH)",7765000.0,
nairobi,2023_24,01,Medical Services,Clinical Services,5700000.0,
nairobi,2023_24,01,Medical Services,Health Research,4000000.0,
nairobi,2023_24,01,"Wellness, Nutrition","Nutrition Program
Promotion",12250000.0,
nairobi,2023_24,01,Social Services,,,
nairobi,2023_24,01,Social Services,Family Welfare,6050000.0,
nairobi,2023_24,01,Social Services,Children Services,5000000.0,
nakuru,2023_24,01,DEPARTMENT OF HEALTH SERVICES,,,
nakuru,2023_24,01,"Programme 2 health pre-
ventive and promotive
services",SP 2.1 Primary Healthcare,,
nakuru,2023_24,01,"Programme 2 health pre-
ventive and promotive
services","SP 2.2 environmental
health and sanitation",,
nakuru,2023_24,01,"Programme 2 health pre-
ventive and promotive
services",SP 2.3 human resource,,
nakuru,2023_24,01,"Programme 2 health pre-
ventive and promotive
services",SP 2.5 Health promotive,,
nakuru,2023_24,01,"Programme 2 health pre-
ventive and promotive
services",SP 2.8 Reproductive health,1250000.0,
nakuru,2023_24,01,"Programme 3 Health
curative and rehabilita-
tive services","SP 3.1 Provision of essen-
tial health services in all",1208750945.0,412643500.0
nakuru,2023_24,01,"Programme 3 Health
curative and rehabilita-
tive services","SP 3.2 Elimination
of communicable and
non-communicable
diseases",2200000.0,
nakuru,2023_24,01,"Programme 3 Health
curative and rehabilita-
tive services",SP 3.3 Human resource,246760037.0,
nakuru,2023_24,01,"Programme 3 Health
curative and rehabilita-
tive services",Sub-Total,5750251631.0,1336862576.0
nyamira,2023_24,01,Curative health services,,,
nyamira,2023_24,01,Curative health services,,,
nyamira,2023_24,01,Curative health services,,,
samburu,2023_24,01,"Preventive and
Promotive Health
Services",,139411073.0,74822101.3
samburu,2023_24,01,"Non-Communicable
Disease & prevention
control",,16509257.5,7163099.0
samburu,2023_24,01,"Maternal Health
Services",,27318569.0,12725396.15
samburu,2023_24,01,"Health Promotive
Services",,53568378.5,28723795.7
samburu,2023_24,01,"Health curative
Services",,517985746.0,294494210.9
samburu,2023_24,01,"Provision Of Essential
Health Services In All
The Levels",,11327469.0,3970578.5
samburu,2023_24,01,"Health Infrastructure
development",,4986788.0,2584529.9
samburu,2023_24,01,"Health Policy, Planning
& Financing",,22733129.5,7581541.1
samburu,2023_24,01,"Health Policy, Planning
& Financing",,,
samburu,2023_24,01,Administrative services,,27556604.5,8591481.95
samburu,2023_24,01,Firefighting services,,2313783.0,5000.0
samburu,2023_24,01,Firefighting services,,,
taita,2023_24,01,1001003260,Ambulance services,970000000.0,823600.0
tana,2023_24,01,"Early Child
care services","ECDE quality educa-
tion standards service",500000.0,
tana,2023_24,01,"Early Child
care services","ECDE Access and
Retention Services",20300000.0,
tana,2023_24,01,"Early Child
care services",Sub Total,20800000.0,
tana,2023_24,01,"Curative and
Rehabilitative",Medical Supplies,160650000.0,39498793.0
tana,2023_24,01,"Curative and
Rehabilitative",Medical Services,33200000.0,2611906.0
tana,2023_24,01,"Curative and
Rehabilitative",Ambulance services,10700000.0,
tana,2023_24,01,"Public works
and services",Sub Total,24536780.0,151200.0
tharaka,2023_24,01,Medical Services,,,
tharaka,2023_24,01,"P: Curative and
Rehabilitative
Services","SP: Primary Health-
care",,
tharaka,2023_24,01,"P: Curative and
Rehabilitative
Services",SP: Medical Supplies,,52451398.0
tharaka,2023_24,01,"P: Curative and
Rehabilitative
Services","SP: Laboratory
Services",,4739200.0
tharaka,2023_24,01,Public Health and Sanitation,,,
