county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
elgeyo,2019_20,02,"Curative and Rehabilitative
Health",,1039657585.0,215841013.75
elgeyo,2019_20,02,"Curative and Rehabilitative
Health",Commodity management,95257103.0,24481195.1
elgeyo,2019_20,02,"Curative and Rehabilitative
Health",County Hospitals,386716174.0,164015823.3
elgeyo,2019_20,02,"Curative and Rehabilitative
Health",Primary Care Units,546684308.0,27343995.35
elgeyo,2019_20,02,"Curative and Rehabilitative
Health",Emergency Medical Services,11000000.0,0.0
homa,2019_20,02,Department of Health Services,,,
homa,2019_20,02,"Preventive and promotive
health services",Community health services,77400000.0,
homa,2019_20,02,"Preventive and promotive
health services",Disease control services,47500000.0,
homa,2019_20,02,"Preventive and promotive
health services",Sub total,124900000.0,
homa,2019_20,02,"Curative and rehabilitative
health services",Routine medical health services,268017729.0,170427917.0
homa,2019_20,02,"Curative and rehabilitative
health services","Medical emergency response ser-
vices",12000000.0,
homa,2019_20,02,"Curative and rehabilitative
health services","Facility infrastructure improvement
services",323247690.0,55332918.0
homa,2019_20,02,"Curative and rehabilitative
health services",Sub total,603265419.0,225760835.0
isiolo,2019_20,02,401003000.0,"Preventive and Promotive Health Ser-
vices",144322002.0,4916000.0
isiolo,2019_20,02,403003000.0,"Curative and Rehabilitative Health Ser-
vices",112471350.0,6710300.0
kajiado,2019_20,02,"General Administration, Planning
and Support Services","Health Policy, Planning & Fi-
nancing",,
kajiado,2019_20,02,Curative Health Services,,312834835.0,140922660.0
kajiado,2019_20,02,Curative Health Services,Medical Services,312834835.0,140922660.0
kajiado,2019_20,02,Curative Health Services,Ambulance Services,,
kajiado,2019_20,02,Curative and Rehabilitative,,10059700.0,3979230.0
kajiado,2019_20,02,Curative and Rehabilitative,Medical Supplies,,
kajiado,2019_20,02,Curative and Rehabilitative,Ambulance services,10059700.0,3979230.0
kajiado,2019_20,02,Public Health and Sanitation,,229558695.0,37994058.0
kajiado,2019_20,02,Public Health and Sanitation,Preventive and Promotive,209568093.0,31562986.0
kakamega,2019_20,02,Level 5 hospital grant,,427283237.0,151101524.0
kakamega,2019_20,02,Equipping other Health facilities,,30000000.0,2953000.0
kakamega,2019_20,02,Children support programmes,,4000000.0,1445000.0
kericho,2019_20,02,Curative Health,Administration and Planning,933514854.0,365905984.0
kericho,2019_20,02,Curative Health,Hospital(curative)Services,140537188.0,28544666.0
kericho,2019_20,02,Curative Health,Preventive Medicine and Promotive Health,1552398221.0,648785379.0
kiambu,2019_20,02,"401004060 Curative
and preventive health
care services",General administration and support services,20000000.0,0.0
kiambu,2019_20,02,"401004060 Curative
and preventive health
care services",Health curative services,818716765.0,216812884.0
kiambu,2019_20,02,"401004060 Curative
and preventive health
care services",Sub Total,838716765.0,216812884.0
kiambu,2019_20,02,"403004060 Preventive
Health Services",Community Health Services,64400000.0,33154388.0
kiambu,2019_20,02,"403004060 Preventive
Health Services",Sub Total,64400000.0,33154388.0
kiambu,2019_20,02,"404004060 Curative
and Rehabilitative
Health Services",County Hospital Infrastructure,533000000.0,270495660.0
kiambu,2019_20,02,"404004060 Curative
and Rehabilitative
Health Services",Sub Total,533000000.0,270495660.0
kilifi,2019_20,02,Medical Services,Sub total,438207033.0,33883414.0
