Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,703044110,"Security and cross border
Advisory Services","2,200,000","366,520","1,833,480",16.7,351,0
,703054110,"Oil and Gas Advisory
Service","2,200,000","722,600","1,477,400",32.8,351,0
,703064110,"Gender and Partnership
Advisory Services","2,200,000",-,"2,200,000",-,351,0
,703074110,Special Interest groups,"2,200,000","705,600","1,494,400",32.1,351,0
,703084110,"Climate Change advisory
services","2,200,000",-,"2,200,000",-,351,0
,703094110,"Education and youth Ad-
visory services","2,200,000","298,480","1,901,520",13.6,351,0
,703104110,"Culture, Arts and Heri-
tage advisory services","2,200,000",-,"2,200,000",-,351,0
704003000,,,"188,176,370","5,264,900","182,911,470",2.8,351,0
,704024110,"Operationalization of
peace building structures
and institutions","33,876,370","5,264,900","28,611,470",15.5,351,0
,704034110,"Resettlement Infrastruc-
tural Programme","138,100,000",-,"138,100,000",-,351,0
,704044110,"Cross Border peace divi-
dends programme","16,200,000",-,"16,200,000",-,351,0
705003000,,,"17,125,742","1,566,000","15,559,742",9.1,351,0
,705014110,"Acquiring & develop-
ment of communication
systems/equipment","1,842,670","900,000","942,670",48.8,351,0
,705024110,Bills,"8,000,000",-,"8,000,000",-,351,0
,705034110,Policies,"1,017,801","431,000","586,801",42.3,351,0
,705044110,"Development and Imple-
mentation of ICT Policy
and Regulations","2,220,657","235,000","1,985,657",10.6,351,0
,705054110,"Acquisition of Informa-
tion Systems and Equip-
ment","4,044,614",-,"4,044,614",-,351,0
706003000,,,"40,941,137","4,313,420","36,627,717",10.5,351,0
,706014110,"Automated Revenue Col-
lection","4,540,650","1,253,125","3,287,525",27.6,351,0
,706024110,"Feasibility Study on Rev-
enue Base","950,548","325,274","625,274",34.2,351,0
,706034110,"Awareness and Cam-
paigns on Revenue.","3,834,913","852,800","2,982,113",22.2,351,0
,706044110,"Motorbikes for Revenue
Officers 30 No.","1,126,370",-,"1,126,370",-,351,0
,706054110,"Strengthening Revenue
Systems","19,588,656","1,876,800","17,711,856",9.6,351,0
,706064110,"Revenue Forecast and
Revenue Budget Prepa-
ration","1,400,000","5,421","1,394,579",0.4,352,0
,706074110,"Completion of Lokiriama
Revenue Centre","9,500,000",-,"9,500,000",-,352,0
707003000,,,"151,549,611","7,825,000","143,724,611",5.2,352,0
,707014110,Internal Audit,"9,514,319","1,571,700","7,942,619",16.5,352,0
,707024110,Procurement systems,"6,361,307","1,569,000","4,792,307",24.7,352,0
,707044110,IFMIS training,"8,155,233","1,793,750","6,361,483",22.0,352,0
