Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
QMS Audit /Routine Inspection,"444,825","440,000","4,825",98.9,385,0
"Documentation/Record Management For
QMS","933,045","103,000","830,045",11.0,385,0
Budgetary Supply,"110,750,024","93,597,585","17,152,439",84.5,385,0
"Budget Formulation, Co-ordination and
Management","82,688,548","70,066,203","12,622,345",84.7,385,0
Public Participation in Budgeting,"19,561,476","16,092,484","3,468,992",82.3,385,0
County Budget and Economic Forum,"8,500,000","7,438,898","1,061,102",87.5,385,0
Resource Mobilization,"5,728,909","5,225,189","503,720",91.2,385,0
Resource Mobilization,"5,728,909","5,225,189","503,720",91.2,385,0
Governors Press Service,"5,014,280","2,754,814","2,259,466",54.9,385,0
Governors Press support,"5,014,280","2,754,814","2,259,466",54.9,385,0
Governance and Public participation,"27,617,694","15,564,222","12,053,472",56.4,385,0
Civic education Programme,"1,422,416","553,300","869,116",38.9,385,0
"Public Participation and access to informa-
tion","21,094,620","12,640,822","8,453,798",59.9,385,0
County Dialogue Forum,"1,600,000","272,100","1,327,900",17.0,385,0
National & County Holidays,"2,220,658","2,098,000","122,658",94.5,385,0
Policies Design,"1,280,000",0,"1,280,000",-,385,0
Disaster risk management,"148,935,816","142,487,662","6,448,154",95.7,385,0
Disaster Preparedness Programmes,"1,625,822",0,"1,625,822",-,385,0
Disaster Mitigation Programmes,"2,301,096",0,"2,301,096",-,385,0
"Stakeholders coordination and Support
Programme","1,507,911",0,"1,507,911",-,385,0
Humanitarian Relief Food Programme,"142,480,439","142,487,662","-7,223",100.0,385,0
Disaster Risk Mgt,"1,020,548",0,"1,020,548",-,385,0
Inspectorate services,"45,563,040","29,802,230","15,760,810",65.4,385,0
Inspectorate Training Institute,"13,927,708","12,677,890","1,249,818",91.0,385,0
Dispute Resolution,"3,160,000","1,923,650","1,236,350",60.9,385,0
Enforcement,"6,661,972","5,551,410","1,110,562",83.3,385,0
Capacity Building,"5,180,920","3,734,480","1,446,440",72.1,385,0
Inspectorate Services,"5,132,440","2,204,920","2,927,520",43.0,385,0
Inspectorate Services Equip,"11,500,000","3,709,880","7,790,120",32.3,385,0
Human resource management,"27,400,628","2,336,118,067","-2,308,717,439","8,525.8",386,0
Payroll and record management,"1,240,000","2,325,079,417","-2,323,839,417","187,506.4",386,0
Human Resource Development,"7,000,000","3,963,450","3,036,550",56.6,386,0
"GHRIS Leave & Performance Module Im-
plementation","3,270,300","1,240,800","2,029,500",37.9,386,0
"Digitization and Automation of Human
Resource Registry","2,650,000","791,500","1,858,500",29.9,386,0
"Mainstreaming Public Sector Integrity
Programme","2,980,000","972,000","2,008,000",32.6,386,0
County performance management,"3,520,000","683,400","2,836,600",19.4,386,0
Public Service Week,"3,140,000","2,053,200","1,086,800",65.4,386,0
Records Mgt,"1,120,328",0,"1,120,328",-,386,0
HRM,"2,480,000","1,334,300","1,145,700",53.8,386,0
,"17,702,000","13,224,687","4,477,313",74.7,386,0
Govt Programming,"7,002,000","4,263,830","2,738,170",60.9,386,0
Community Engagement,"3,500,000","2,546,760","953,240",72.8,386,0
Govt Stakeholder Engagement,"3,200,000","3,189,000","11,000",99.7,386,0
Govt Transformation,"4,000,000","3,225,097","774,903",80.6,386,0
General Administration,"72,987,983","62,392,810","10,595,173",85.5,386,0
"General Administration, Planning and
Support Services","72,987,983","62,392,810","10,595,173",85.5,386,0
"Tourism destination marketing and pro-
motion","12,440,846","5,105,410","7,335,436",41.0,386,0
"Tourism expos,incentives, conferences and
exhibition program","3,300,001","1,766,445","1,533,556",53.5,386,0
Community Based Tourism products,"2,134,535","831,845","1,302,690",39.0,386,0
"Media Campaign and Promotion of Tour-
ism Products and Programmes","7,006,310","2,507,120","4,499,190",35.8,386,0
Tourism development and Promotion,"2,588,800","1,949,344","639,456",75.3,386,0
"Phase II of Renovation of Tourism Infra-
structure",0,"502,444","-502,444",,386,0
Tourism Products,"2,588,800","1,446,900","1,141,900",55.9,386,0
"Culture, arts, heritage development,
promotion and preservation","121,346,530","77,409,382","43,937,148",63.8,386,0
Ushanga Initiative,"44,649,165","31,698,636","12,950,529",71.0,386,0
Culture Promotion and Preservation,"12,295,474","10,983,616","1,311,858",89.3,386,0
Arts and Creativity Development,"3,454,078","942,888","2,511,190",27.3,386,0
Heritage Promotion,"14,340,530","3,943,070","10,397,460",27.5,386,0
Annual tourism and cultural festival,"46,607,283","29,841,172","16,766,111",64.0,386,0
"Culture development and preservation
infrastructure","5,000,000","5,000,000",0,100.0,386,0
"Equipment and Infrastructure Develop-
ment at Ekalees Centre","5,000,000","5,000,000",0,100.0,386,0
"Forestry and wildlife management de-
velopment and management","28,546,638","15,555,342","12,991,297",54.5,386,0
Forestry Management and Conservation,"3,230,245","2,049,657","1,180,588",63.5,386,0
Community Wildlife Conservation,"12,891,530","2,740,967","10,150,564",21.3,386,0
Forestry Development Infrastructure,"7,600,000","7,600,000",0,100.0,386,0
Forestry Protection,"2,701,095","2,452,800","248,295",90.8,386,0
Prosopis Mgt,"2,123,768","711,918","1,411,850",33.5,386,0
Turkana Water Programme,"213,532,656","52,950,148","160,582,508",24.8,386,0
"Construction and Desilting of Water Pans/
Rock Catchment","85,292,860","9,950,860","75,342,000",11.7,386,0
Rehabilitation of Water Infrastructure,"43,677,049","26,615,406","17,061,643",60.9,386,0
Drilling and Equipping of Boreholes,"80,954,517","14,038,342","66,916,175",17.3,386,0
Project Coordination and Management,"3,608,230","2,345,540","1,262,690",65.0,386,0
Joint planning with stakeholders,"16,298,876","10,730,282","5,568,594",65.8,386,0
Technical planning and design,"2,025,576","1,111,722","913,854",54.9,386,0
Drought Mitigation,"14,273,300","9,618,560","4,654,740",67.4,386,0
"IRRIGATION AND SCHEMES DE-
VELOPMENT PROGRAMME","25,596,737","14,059,806","11,536,931",54.9,386,0
"Feasibility studies for irrigation systems
development","25,596,737","14,059,806","11,536,931",54.9,386,0
