Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of
30 September 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
Sub-Total,,"108,926,592","95,000,000","8,739,393",-,8.0,-,385,0
Rongo Municipality,,,,,,,,385,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","13,280,000",,,,-,-,385,0
,Board Activities,"6,720,000",,,,-,-,385,0
"Infrastructure
Development","Infrastructure devel-
opment",,"26,800,000",,,-,-,385,0
Sub-Total,,"20,000,000","26,800,000",-,-,-,-,385,0
Kehancha Municipality,,,,,,,,385,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,386,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","14,280,000",,,,-,-,386,0
,Board Activities,"6,720,000",,,,-,-,386,0
"Infrastructure
Development","Infrastructure devel-
opment",,"26,800,000",,"4,391,020",-,16.4,386,0
Sub-Total,,"21,000,000","26,800,000",-,"4,391,020",-,16.4,386,0
Migori Municipality,,,,,,,,386,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","13,280,000",,-,,-,-,386,0
,Board Activities,"6,720,000",,,,-,-,386,0
"Infrastructure
Development","Infrastructure devel-
opment",,"64,181,008",,,-,-,386,0
Sub-Total,,"20,000,000","64,181,008",,,-,-,386,0
Awendo Municipality,,,,,,,,386,0
"Administrative
and Support
Services","Planning, Adminis-
tration, & governance
services","13,280,000",,,,-,-,386,0
,Board Activities,"6,720,000",,,,-,-,386,0
"Infrastructure
Development","Infrastructure devel-
opment",,"26,800,000",,,-,-,386,0
Sub-Total,,"20,000,000","26,800,000",-,-,-,-,386,0
"Department of Roads, Transport, Public Works & Infrastructural Development",,,,,,,,386,0
"General ad-
ministration &
support services","Administrative
services","124,724,552",,"10,148,939",,8.1,-,386,0
,"Administrative
services","17,779,182",,,,-,-,386,0
"Road De-
velopment,
Maintenance &
Management",Mechanisation service,,,,,-,-,386,0
,"Community access
roads",,"150,000,000",,"8,697,739",-,5.8,386,0
,Major roads,,"444,000,000",,,-,-,386,0
,"Bridges & culvert
services",,"50,000,000",,"37,604,829",-,75.2,386,0
,Other Infrastructure,,-,-,-,-,-,386,0
,"Road Maintenance
Fuel Roads",,"100,000,000",-,-,-,-,386,0
"Transport
Infrastructure
Management
Services","Transport
management services",,"26,000,000",-,-,-,-,386,0
"Public works
services",Architectural Services,"2,240,000",,-,-,-,-,386,0
,"Quantity Surveyor’s
Services","1,660,000",,-,-,-,-,386,0
,"Mechanical &
Electrical Engineering
services","1,340,000",,-,-,-,-,386,0
,"Structural engineering
services","1,916,000",,-,-,-,-,386,0
,"Building &
construction services.",-,,-,-,-,-,386,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,387,0
,Mechanisation service,"720,000",,-,-,-,-,387,0
Sub-Total,,"150,379,734","770,000,000","10,148,939","46,302,568",6.7,6.0,387,0
"Department of Trade, Tourism, Industry, Market & Co-operative Development",,,,,,,,387,0
"Policy, Planning
& administrative
support services","Administrative
support services","118,306,968",-,"11,056,016",,9.3,-,387,0
,"Administrative
support services (Co-
operatives","3,100,000",,,,-,-,387,0
"Trade Promo-
tion, Develop-
ment & Support
to SMEs","Trade development
& promotion of SME
services","2,000,000",,,,-,-,387,0
,"Trade infrastructure
development services",-,"80,000,000",,"15,964,035",-,20.0,387,0
,"Trade regulation
& information
management systems","4,000,000",,,,-,-,387,0
,Community projects,-,,,,-,-,387,0
"Legal metrology
services","Legal metrology
services","4,800,000",,,,-,-,387,0
"Industrial
development
& investment
services","Industrial & enterprise
development","3,700,000","250,000,000",-,-,-,-,387,0
,"Investment promotion
services.","2,300,000",-,-,-,-,-,387,0
"Tourism
Research &
Development","Tourism product
development","5,400,000",-,-,-,-,-,387,0
,"Tourism promotion,
investment &
marketing","3,600,000",-,-,-,-,-,387,0
,"Tourism development
& investment services.",-,-,-,-,-,-,387,0
"Co-operative
Policy, Research
Advisory","Co-operative Policy,
Research Advisory","3,000,000",-,-,-,-,-,387,0
"Co-operative
Development
& Promotion
Services","Co-operative
Development &
Promotion Services","2,400,000",-,-,-,-,-,387,0
"Co-operative
Audit",Co-operative Audit,"1,100,000",-,-,-,-,-,387,0
"Co-operative
Governance,
Oversight &
Compliance","Co-operative
Governance, Oversight
and Compliance","400,000",-,-,-,-,-,387,0
"Liquor Licensing
and Control","Liquor Licensing and
Control","2,000,000",-,-,-,-,-,387,0
Sub-Total,,"156,106,968","330,000,000","11,056,016","15,964,035",7.1,4.8,387,0
County Assembly Entity,,,,,,,,387,0
"General ad-
ministration &
support services","Administrative
services","747,178,947",,"72,954,512",,9.8,-,387,0
,"Administrative
services","28,789,750",,-,,-,-,387,0
"Infrastructure
Development","Infrastructure
Development services",,"50,000,000",,,-,-,387,0
