Programme,Sub- Programme,"Approved
Estimates (Kshs)","Actual
Expenditure
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index,col_6
,"Neighbourhood Planning and
Development Services","5,048,979","5,048,979",-,100.0,135,0,
,"Workforce development and
enterprise support services",-,-,-,-,135,0,
,Subtotal,"5,048,979","5,048,979",-,100.0,135,0,
,Total,"44,000,229","41,742,777","2,257,452",94.9,135,0,
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,135,0,
"Policy Planning, General
Administration and Support
Services",Policy and Planning Services,"4,105,600","3,638,700","466,900",88.6,135,0,
,"General Administration and
Support Services","212,177,568","168,225,168","43,952,400",79.3,135,0,
,Subtotal,"216,283,168","171,863,868","44,419,300",79.5,135,0,
"Crop, Land and
Agribusiness Development
Services",Crop Development Services,-,-,-,-,135,0,
,"Agribusiness Development
Services",-,-,-,-,135,0,
,Land Development Services,-,-,-,-,135,0,
,"National Agriculture Rural
Inclusive Growth",-,-,-,-,135,0,
,"Agriculture Sector Development
Support Programme",-,-,-,-,135,0,
,National Value Chain Project,-,-,-,-,135,0,
,Subtotal,-,-,-,-,135,0,
"Food Security Enhancement
Services","Sub Sector Infrastructure
Development Services","6,257,234","3,159,580","3,097,654",50.5,135,0,
,Farm Input Access Services,"208,917,803","150,825,138","58,092,665",72.2,135,0,
,"National Agriculture Rural
Inclusive Growth","5,000,000","4,374,252","625,748",87.5,135,0,
,"Agriculture Sector Development
Support Programme","8,159,850","3,159,580","5,000,270",38.7,135,0,
,National Value Chain Project,"205,000,000","195,580,652","9,419,348",95.4,135,0,
,Sub total,"433,334,887","357,099,202","76,235,685",82.4,135,0,
"Livestock Development
Programme","Livestock Improvement and
Development","9,102,000",-,"9,102,000",-,135,0,
,"Livestock Infrastructure
Development Services","3,398,000",-,"3,398,000",-,135,0,
,"Livestock Health and Disease
Management","5,432,625",-,"5,432,625",-,135,0,
,Subtotal,"17,932,625",-,"17,932,625",-,135,0,
,Total,"667,550,680","528,963,070","138,587,610",79.2,135,0,
"Department of Gender Equality and Inclusivity Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,135,0,
"Policy, Planning and
General Administration
services","General Administration and
Support Services","83,952,751","79,551,976","4,400,775",94.8,135,0,
,Policy and Planning Services,"21,772,768","20,847,408","1,135,820",94.8,135,0,
,Office Development Operations,"210,460",-,"210,460",-,135,0,
,Subtotal,"105,935,979","100,399,384","5,536,595",94.8,135,0,
"Cultural And Creative
Sector Development
Services","Creative Economy Development
Services","3,873,589",-,"3,873,589",-,135,0,
,"Cultural Development and
Promotion Services","9,684,288","3,132,325","6,551,963",32.3,135,0,
,Subtotal,"13,557,877","3,132,325","10,425,552",23.1,135,0,
"Social Development and
Empowerment Services","Gender Mainstreaming and
Women Empowerment Services","7,404,418","5,140,001","2,264,417",69.4,136,0,
,"Youth Empowerment and
Mainstreaming Services","5,432,000","5,131,740","300,260",94.5,136,0,
,SGBV Control Services,-,-,-,-,136,0,
,Disability Mainstreaming Services,"8,573,000","7,563,020","1,009,980",88.2,136,0,
,Youth and women support grants.,-,-,-,-,136,0,
,Subtotal,"21,409,418","17,834,761","3,574,657",83.3,136,0,
"Management and
Development of Sports and
Sports Facilities","Sports Infrastructure
Development Services","43,580,218","40,433,178","3,147,040",92.8,136,0,
,"Sports Management and Talent
Development","14,268,923","14,200,000","68,923",99.5,136,0,
,Subtotal,"57,849,141","54,633,178","3,215,963",94.4,136,0,
,Total,"198,752,415","175,999,648","22,752,767",88.6,136,0,
"Department of Roads, Transport and Public Works and Infrastructure",,,,,,136,0,
"General Administration,
Planning and Support
Services","Human Resource and Capacity
Development Services","156,541,654","142,138,465","14,403,189",90.3,136,0,
,"Policy Planning and Field Support
Services","612,213","357,160","255,053",58.3,136,0,
,Roads and Transport Services,"231,323",,"231,323",-,136,0,
,Subtotal,"157,485,170","142,495,625","14,989,545",90.5,136,0,
"Public works and
maintenance services",Quality Control and Enforcement,-,-,-,-,136,0,
,"Infrastructure Development
Services",-,-,-,-,136,0,
,"Purchase of Plant and Machinery
maintenance","63,189,008","61,230,800","1,958,208",96.9,136,0,
"Road Development and
Rehabilitation Services",Road Development Services,"443,379,195","438,831,929","4,547,266",99.0,136,0,
,Road Maintenance Services,"209,624,868","206,763,323","2,861,545",98.6,136,0,
,Subtotal,"653,004,063","645,595,252","7,408,811",98.9,136,0,
"Transport Development and
Rehabilitation Services",Water Transport Services,-,-,-,-,136,0,
,Subtotal,-,-,-,-,136,0,
,Total,"873,678,241","849,321,677","24,356,564",97.2,136,0,
"Department of Blue Economy, Fisheries Mining and Digital Economy",,,,,,136,0,
